title,note,lat,lng,source,url
"泉南市牧野・岡中・幡代区共同墓地",,34.3543045,135.2744017,chrome,"https://www.google.com/maps/place/%E6%B3%89%E5%8D%97%E5%B8%82%E7%89%A7%E9%87%8E%E3%83%BB%E5%B2%A1%E4%B8%AD%E3%83%BB%E5%B9%A1%E4%BB%A3%E5%8C%BA%E5%85%B1%E5%90%8C%E5%A2%93%E5%9C%B0/data=!4m2!3m1!1s0x6000b64445cbe791:0x9d5cfde23e3f0011"
"傳通院",,35.712415,139.7468646,chrome,"https://www.google.com/maps/place/%E5%82%B3%E9%80%9A%E9%99%A2/data=!4m2!3m1!1s0x60188c4c7ec6131f:0xac0ad303420f5fd8"
"徳本上人名号碑",,34.078741,136.1975074,chrome,"https://www.google.com/maps/place/%E5%BE%B3%E6%9C%AC%E4%B8%8A%E4%BA%BA%E5%90%8D%E5%8F%B7%E7%A2%91/data=!4m2!3m1!1s0x60067fba543bf4fb:0xbf8ac3acc3e59bf4"
"徳本上人誕生遺跡",,33.9298262,135.0986319,chrome,"https://www.google.com/maps/place/%E5%BE%B3%E6%9C%AC%E4%B8%8A%E4%BA%BA%E8%AA%95%E7%94%9F%E9%81%BA%E8%B7%A1/data=!4m2!3m1!1s0x60075c4c9779048b:0x2d459d84c6ad48ff"
"徳本上人初行洞窟",,33.8944343,135.2691191,chrome,"https://www.google.com/maps/place/%E5%BE%B3%E6%9C%AC%E4%B8%8A%E4%BA%BA%E5%88%9D%E8%A1%8C%E6%B4%9E%E7%AA%9F/data=!4m2!3m1!1s0x60076c848b951b81:0x868c094dbedabf62"
"徳本上人自筆供養塔",,33.9298262,135.0986319,chrome,"https://www.google.com/maps/place/%E5%BE%B3%E6%9C%AC%E4%B8%8A%E4%BA%BA%E8%87%AA%E7%AD%86%E4%BE%9B%E9%A4%8A%E5%A1%94/data=!4m2!3m1!1s0x60074f7ecd30023d:0x15e7d2052189b64b"
"徳本上人座仏",,33.8825097,135.0621206,chrome,"https://www.google.com/maps/place/%E5%BE%B3%E6%9C%AC%E4%B8%8A%E4%BA%BA%E5%BA%A7%E4%BB%8F/data=!4m2!3m1!1s0x60075f5facc2abe1:0x169eb619da4a7503"
"徳本上人坐像",,33.8916906,135.3438361,chrome,"https://www.google.com/maps/place/%E5%BE%B3%E6%9C%AC%E4%B8%8A%E4%BA%BA%E5%9D%90%E5%83%8F/data=!4m2!3m1!1s0x6007130070d98431:0xc3189da415584069"
"徳本上人名号碑",,33.7839524,135.2575605,chrome,"https://www.google.com/maps/place/%E5%BE%B3%E6%9C%AC%E4%B8%8A%E4%BA%BA%E5%90%8D%E5%8F%B7%E7%A2%91/data=!4m2!3m1!1s0x600773ab8cf6fecb:0xb127096b32c1a957"
"徳本上人 説明板",,33.931105,135.100903,chrome,"https://www.google.com/maps/place/%E5%BE%B3%E6%9C%AC%E4%B8%8A%E4%BA%BA+%E8%AA%AC%E6%98%8E%E6%9D%BF/data=!4m2!3m1!1s0x60075d30615d37b1:0xe6a0fa6012026592"
"徳本上人石塔",,33.5668349,135.4953271,chrome,"https://www.google.com/maps/place/%E5%BE%B3%E6%9C%AC%E4%B8%8A%E4%BA%BA%E7%9F%B3%E5%A1%94/data=!4m2!3m1!1s0x6007b7f689c6048d:0xee8de23967de118c"
"徳本上人名号碑",,34.1845413,135.2370285,chrome,"https://www.google.com/maps/place/%E5%BE%B3%E6%9C%AC%E4%B8%8A%E4%BA%BA%E5%90%8D%E5%8F%B7%E7%A2%91/data=!4m2!3m1!1s0x60074b1992e72b5b:0xad7b3446c17a2997"
"徳本上人筆名号塔 附玉垣",,34.4717851,135.3806169,chrome,"https://www.google.com/maps/place/%E5%BE%B3%E6%9C%AC%E4%B8%8A%E4%BA%BA%E7%AD%86%E5%90%8D%E5%8F%B7%E5%A1%94+%E9%99%84%E7%8E%89%E5%9E%A3/data=!4m2!3m1!1s0x6000c519651fae6d:0x7f8188d35410ff22"
"徳本上人筆名号碑",,34.7486587,135.3777043,chrome,"https://www.google.com/maps/place/%E5%BE%B3%E6%9C%AC%E4%B8%8A%E4%BA%BA%E7%AD%86%E5%90%8D%E5%8F%B7%E7%A2%91/data=!4m2!3m1!1s0x6000f14f088de803:0xa00b228439b799db"
"徳本上人名号塔",,34.732242,135.3116065,chrome,"https://www.google.com/maps/place/%E5%BE%B3%E6%9C%AC%E4%B8%8A%E4%BA%BA%E5%90%8D%E5%8F%B7%E5%A1%94/data=!4m2!3m1!1s0x6000f39ad212b247:0x1307ec31de5d92e0"
"徳本上人座禅石",,34.7332714,135.2556525,chrome,"https://www.google.com/maps/place/%E5%BE%B3%E6%9C%AC%E4%B8%8A%E4%BA%BA%E5%BA%A7%E7%A6%85%E7%9F%B3/data=!4m2!3m1!1s0x60008dfae11ea993:0xa8937e27dd849ac8"
"西古佐のお堂と徳本上人碑と道標",,35.0715839,135.1672404,chrome,"https://www.google.com/maps/place/%E8%A5%BF%E5%8F%A4%E4%BD%90%E3%81%AE%E3%81%8A%E5%A0%82%E3%81%A8%E5%BE%B3%E6%9C%AC%E4%B8%8A%E4%BA%BA%E7%A2%91%E3%81%A8%E9%81%93%E6%A8%99/data=!4m2!3m1!1s0x600013a47922efb7:0x880238e17f91b2ab"
"宮田の徳本上人碑と庚申塔",,35.0941922,135.1760271,chrome,"https://www.google.com/maps/place/%E5%AE%AE%E7%94%B0%E3%81%AE%E5%BE%B3%E6%9C%AC%E4%B8%8A%E4%BA%BA%E7%A2%91%E3%81%A8%E5%BA%9A%E7%94%B3%E5%A1%94/data=!4m2!3m1!1s0x600013b6045381e7:0x2048f64855d431d"
"徳本上人書名号塔",,35.1873736,134.8228599,chrome,"https://www.google.com/maps/place/%E5%BE%B3%E6%9C%AC%E4%B8%8A%E4%BA%BA%E6%9B%B8%E5%90%8D%E5%8F%B7%E5%A1%94/data=!4m2!3m1!1s0x35554500371b9b35:0xa7eaf819248a1188"
"徳本上人六字名号石",,35.1894666,134.7928379,chrome,"https://www.google.com/maps/place/%E5%BE%B3%E6%9C%AC%E4%B8%8A%E4%BA%BA%E5%85%AD%E5%AD%97%E5%90%8D%E5%8F%B7%E7%9F%B3/data=!4m2!3m1!1s0x3555453f7f6304c3:0x1dac71c8e1cbe27c"
"徳本上人の名号碑",,35.3687751,135.1059669,chrome,"https://www.google.com/maps/place/%E5%BE%B3%E6%9C%AC%E4%B8%8A%E4%BA%BA%E3%81%AE%E5%90%8D%E5%8F%B7%E7%A2%91/data=!4m2!3m1!1s0x5ffff7c17b54325b:0x767a773db5980e45"
"徳本上人名号碑",,34.3048806,133.0885895,chrome,"https://www.google.com/maps/place/%E5%BE%B3%E6%9C%AC%E4%B8%8A%E4%BA%BA%E5%90%8D%E5%8F%B7%E7%A2%91/data=!4m2!3m1!1s0x3550519b6b8eb02b:0x697498e3c0463140"
"指定した地点",,33.9006898,135.1619498,direct,"https://www.google.com/maps/search/33.9006898,135.1619498"
"指定した地点","名号碑",33.8893104,135.0852765,direct,"https://www.google.com/maps/search/33.8893104,135.0852765"
